From,To
alumni/career/women/coaches,http://gsb.stanford.edu/alumni/career-resources/job-search/career-coaching/coaches
alumni/career/women/workoptions,http://gsb.stanford.edu/alumni/career-resources/transitions/career-breaks-reentry
alumni/career/workshops,http://gsb.stanford.edu/alumni/career-resources
alumni/directory,http://gsb.stanford.edu/alumni/communities/directories
alumni/directory/all_register_step1.html,http://gsb.stanford.edu/alumni/help/site-registration
alumni/directory/all_register_step2.html,http://gsb.stanford.edu/alumni/help/site-registration
alumni/directory/faq.html,http://gsb.stanford.edu/alumni/communities/directories
alumni/directory/help.html,http://gsb.stanford.edu/alumni/help/site-login
alumni/directory/policy.html,https://alumni-gsb.stanford.edu/get/page/terms
alumni/directory/sbsbaa_register_step1.html,http://gsb.stanford.edu/alumni/communities/black-gsb-alumni
alumni/directory/sbsbaa_register_step2.html,http://gsb.stanford.edu/alumni/communities/black-gsb-alumni
alumni/directory/sbshaa_register_step1.html,http://gsb.stanford.edu/alumni/communities/hispanic-gsb-alumni
alumni/directory/sbshaa_register_step2.html,http://gsb.stanford.edu/alumni/communities/hispanic-gsb-alumni
alumni/directory/username.html,http://gsb.stanford.edu/alumni/help/site-registration
alumni/directory/women_register_step1.html,http://gsb.stanford.edu/alumni/help/site-registration
alumni/directory/women_register_step2.html,http://gsb.stanford.edu/alumni/help/site-registration
alumni/email/seed,https://seed.stanford.edu/
alumni/encore2013speakerbios,http://gsb.stanford.edu/alumni/featured-events/award-events/encore
alumni/events/arbuckle,http://gsb.stanford.edu/alumni/featured-events/award-events/arbuckle
alumni/events/arbuckle/about,http://gsb.stanford.edu/alumni/featured-events/award-events/arbuckle
alumni/events/award,http://gsb.stanford.edu/alumni/featured-events/award-events
alumni/events/calendar,http://alumni-gsb.stanford.edu/get/page/events
alumni/events/chapters,http://alumni-gsb.stanford.edu/get/page/events
alumni/events/encore,http://gsb.stanford.edu/alumni/featured-events/award-events/encore
alumni/events/encore/about,http://gsb.stanford.edu/alumni/featured-events/award-events/encore
alumni/events/excellence,http://gsb.stanford.edu/alumni/featured-events/award-events/excellence-leadership
alumni/events/excellence/about,http://gsb.stanford.edu/alumni/featured-events/award-events/excellence-leadership
alumni/events/gardneraward,http://gsb.stanford.edu/alumni/featured-events/award-events/volunteer-leadership
alumni/events/jaedickeaward,http://gsb.stanford.edu/alumni/featured-events/award-events/silver-apple
alumni/events/latinoleadership,http://gsb.stanford.edu/alumni/featured-events/award-events/latino-leadership
alumni/events/latinoleadership/about.html,http://gsb.stanford.edu/alumni/featured-events/award-events/latino-leadership
alumni/events/service,http://gsb.stanford.edu/alumni/featured-events/award-events/military-service-appreciation
